#Parameters = {distance_slot=0.6; distance_wg=1; h_wg=5; l1_slot=15; l2_slot=1; l_wg=110; lambda=30; t_wg=0.1; w_wg=21.94; Mesh Pass=3}
#"Z / mm"	"h-field_center_1 (Mesh Pass=3) [Re]"	"h-field_center_1 (Mesh Pass=3) [Im]"
#------------------------------------------------------------------------------------
-18.150000000000	-1.6852848529816	-0.96781927347183
-18.012500000000	-1.7341926097870	-0.91586065292358
-17.875000000000	-1.7812950611115	-0.86437988281250
-17.737500000000	-1.8280309438705	-0.81300103664398
-17.600000000000	-1.8729068040848	-0.76216161251068
-17.462500000000	-1.9170981645584	-0.71154665946960
-17.325000000000	-1.9594619274139	-0.66153275966644
-17.187500000000	-2.0018260478973	-0.61151814460754
-17.050000000000	-2.0416414737701	-0.56244730949402
-16.912500000000	-2.0809633731842	-0.51355963945389
-16.775000000000	-2.1189832687378	-0.46520897746086
-16.637500000000	-2.1550745964050	-0.41765478253365
-16.500000000000	-2.1911666393280	-0.37009990215302
-16.362500000000	-2.2225828170776	-0.32467949390411
-16.225000000000	-2.2538466453552	-0.27932912111282
-16.087500000000	-2.2851104736328	-0.23397813737392
-15.950000000000	-2.3163745403290	-0.18862745165825
-15.812500000000	-2.3437070846558	-0.14517143368721
-15.675000000000	-2.3682315349579	-0.10306873917580
-15.537500000000	-2.3927559852600	-0.060966052114964
-15.400000000000	-2.4172806739807	-0.018863067030907
-15.262500000000	-2.4418048858643	0.023239627480507
-15.125000000000	-2.4605371952057	0.062467910349369
-14.987500000000	-2.4779033660889	0.10101826488972
-14.850000000000	-2.4952692985535	0.13956862688065
-14.712500000000	-2.5126354694366	0.17811927199364
-14.575000000000	-2.5297522544861	0.21654522418976
-14.437500000000	-2.5400004386902	0.25154095888138
-14.300000000000	-2.5502483844757	0.28653666377068
-14.162500000000	-2.5604963302612	0.32153236865997
-14.025000000000	-2.5707445144653	0.35652834177017
-13.887500000000	-2.5791764259338	0.39061933755875
-13.750000000000	-2.5824608802795	0.42214637994766
-13.612500000000	-2.5857453346252	0.45367342233658
-13.475000000000	-2.5890302658081	0.48520046472549
-13.337500000000	-2.5923147201538	0.51672768592834
-13.200000000000	-2.5923209190369	0.54662430286407
-13.062500000000	-2.5888686180115	0.57480108737946
-12.925000000000	-2.5854163169861	0.60297787189484
-12.787500000000	-2.5819642543793	0.63115465641022
-12.650000000000	-2.5785121917725	0.65933161973953
-12.512500000000	-2.5704579353333	0.68520653247833
-12.375000000000	-2.5605461597443	0.71015244722366
-12.237500000000	-2.5506343841553	0.73509842157364
-12.100000000000	-2.5407228469849	0.76004433631897
-11.962500000000	-2.5308113098145	0.78499054908752
-11.825000000000	-2.5151371955872	0.80700516700745
-11.687500000000	-2.4990844726562	0.82882714271545
-11.550000000000	-2.4830315113068	0.85064911842346
-11.412500000000	-2.4669787883759	0.87247109413147
-11.275000000000	-2.4499759674072	0.89379543066025
-11.137500000000	-2.4281363487244	0.91258478164673
-11.000000000000	-2.4062967300415	0.93137413263321
-10.862500000000	-2.3844571113586	0.95016348361969
-10.725000000000	-2.3626177310944	0.96895283460617
